"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","data_v10_gbm_interaction_depth_10_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","3100","2500","1500","1600","900","1100","2500","1000","2600","2100"
"2","data_v10_gbm_interaction_depth_15_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","2100","1800","1000","1500","1200","700","1100","1400","2300","1500"
"3","data_v10_gbm_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","1800","1900","2300","1800","1500","1000","5600","2200","1900","1300"
"4","data_v10_gbm_sklearn_interaction_depth_10_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","1200","2500","2000","3900","1800","1300","3400","1100","1600","1400"
"5","data_v10_gbm_sklearn_interaction_depth_15_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","1200","1200","1100","1100","1100","1100","3700","1200","2800","2100"
"6","data_v10_gbm_sklearn_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","1500","1200","1600","3700","1000","1400","2300","1500","3700","1200"
"7","data_v11_gbm_interaction_depth_10_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","1400","2200","2200","1500","1300","1000","3000","2400","2600","1800"
"8","data_v11_gbm_interaction_depth_15_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","1600","2200","1400","1700","1000","800","2900","2200","1200","1700"
"9","data_v11_gbm_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","2100","2100","2200","2100","1000","900","2400","1400","2500","2800"
"10","data_v11_gbm_sklearn_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","2200","2300","2100","3600","1300","800","3300","3100","2200","1800"
"11","data_v12_gbm_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","1900","1700","1700","2200","1700","1900","2200","2000","2600","3100"
"12","data_v13_gbm_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","2100","2400","3100","2300","1000","1000","5900","3300","2000","1200"
"13","data_v14_gbm_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","2100","2500","1700","2100","2300","1300","3700","3500","3800","2000"
"14","data_v15_gbm_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","2100","2400","3900","1900","1600","1700","1500","2300","2000","2800"
"15","data_v1_gbm_interaction_depth_10_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","4400","2400","4200","2500","1900","2300","4300","2700","3500","1300"
"16","data_v1_gbm_interaction_depth_1_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","1900","1700","1400","1500","1400","600","2100","2100","1800","1400"
"17","data_v1_gbm_interaction_depth_2_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","1500","1600","1100","1100","1200","1500","1400","1100","1000","2100"
"18","data_v1_gbm_interaction_depth_3_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","900","1100","900","1000","1000","1800","2100","900","800","1400"
"19","data_v1_gbm_interaction_depth_4_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","900","1000","1000","1300","700","1600","1200","1200","800","1200"
"20","data_v1_gbm_interaction_depth_5_shrinkage_0.01_ntree_matrix_bag.fraction_0.5_minobs_5","3500","2400","2200","2400","1800","1800","3500","3300","2600","1400"
"21","data_v1_gbm_interaction_depth_5_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","1200","800","900","1900","700","1000","1500","1800","900","800"
"22","data_v1_gbm_interaction_depth_6_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","900","900","800","900","600","1700","1300","1500","1800","800"
"23","data_v1_gbm_interaction_depth_7_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","800","900","1500","800","1200","800","1700","900","700","1900"
"24","data_v2_gbm_interaction_depth_1_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","1600","1400","1500","1800","1300","700","2100","2100","1400","2000"
"25","data_v4_sklearn_gbm_interaction_depth_3_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_5","2500","5000","1300","6000","2600","2400","3700","4500","1500","6900"
"26","data_v5_gbm_interaction_depth_2_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","1100","1800","1200","1600","1200","1300","2000","2100","1200","1600"
"27","data_v5_gbm_sklearn_interaction_depth_2_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","3300","5000","4300","5200","1400","1400","3300","3100","4200","2200"
"28","data_v5_gbm_sklearn_interaction_depth_3_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","5200","2900","1900","6500","1800","1500","3900","3600","2400","1900"
"29","data_v5_gbm_sklearn_interaction_depth_4_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_10","2800","3000","2500","1500","3000","3500","4800","4700","2000","4600"
"30","data_v7_gbm_interaction_depth_1_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_10","6200","7600","7800","5700","2100","8300","8300","8400","7100","3600"
"31","data_v7_gbm_interaction_depth_2_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_10","4400","2900","3700","2500","1100","3800","5900","4600","4400","2700"
"32","data_v7_gbm_interaction_depth_3_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_10","2600","4600","3600","2600","2000","6500","4100","3500","2400","2900"
"33","data_v7_gbm_interaction_depth_4_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_10","3500","1400","3300","1800","2000","1600","6900","2400","1700","3700"
"34","data_v7_gbm_sklearn_interaction_depth_1_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_5","2400","3700","1900","3700","2000","1000","2000","3000","3500","2500"
"35","data_v8_gbm_interaction_depth_10_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_10","2200","2100","1700","3000","900","3000","1900","1100","1900","900"
"36","data_v8_gbm_interaction_depth_15_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_10","1400","1700","1300","1200","1200","2800","1500","1300","1200","900"
"37","data_v8_gbm_interaction_depth_23_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_10","1100","1400","1100","900","800","1000","1000","1000","1400","1700"
"38","data_v8_gbm_interaction_depth_7_shrinkage_0.1_ntree_matrix_bag.fraction_0.5_minobs_10","2300","1300","1300","1400","1400","3600","3400","1700","1700","2200"
"39","data_v8_gbm_sklearn_interaction_depth_2_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_5","3400","2600","1500","3800","1900","800","5200","2100","2900","2400"
"40","data_v8_gbm_sklearn_interaction_depth_3_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_5","1800","1400","1200","2100","1500","2400","3200","2400","1800","1600"
"41","data_v8_gbm_sklearn_interaction_depth_5_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_5","3500","3900","1600","1700","900","2400","2900","1100","1400","900"
"42","data_v8_gbm_sklearn_interaction_depth_7_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_5","2400","1800","1600","3000","1000","1000","2400","1500","900","1000"
"43","data_v4_gbm_sklearn_interaction_depth_3_shrinkage_0.05_ntree_matrix_bag.fraction_0.5_minobs_5","2500","5000","1300","6000","2600","2400","3700","4500","1500","6900"
